category;item_name;serving_size_g;calories_kcal;total_fat_g;saturated_fat_g;trans_fat_g;cholesterol_mg;sodium_mg;carbohydrates_g;dietary_fiber_g;sugars_g;protein_g;vitamin_A_%DV;vitamin_B_%DV;calcium_%DV;iron_%DV
Sandwich;BBQ Rib;208;580;31;10;0;60;1260;54;3;18;21;10;6;4;20
Sandwich;Black Forest Ham;219;260;4;1;0;30;750;42;5;7;19;35;15;4;15
Sandwich;Chicken & Bacon Ranch Melt;284;540;26;10;0,5;100;1100;41;3;5;36;50;25;20;20
Sandwich;Chicken Mango Curry;234;330;7;1,5;0;50;840;43;3;8;24;15;20;2;25
Sandwich;Chicken Tikka;205;290;5;1;0;50;720;39;2;5;23;10;10;2;25
Sandwich;Chicken Vindaloo;234;340;9;1;0;50;880;42;3;6;24;10;15;2;25
Sandwich;Classic Tuna;223;450;25;4,5;0;40;610;38;2;5;19;15;15;0;20
Sandwich;Cold Cut Combo;213;330;12;3,5;0;45;1060;40;2;5;16;15;15;6;20
Sandwich;Genoa Salami;208;430;23;8;0;60;1180;40;2;5;18;15;25;4;20
Sandwich;Italian B.M.T.®;213;380;17;6;0;50;1100;40;2;5;19;15;20;4;20
Sandwich;Meatball Marinara;205;430;18;7;0;40;1040;48;4;8;20;15;20;6;20
Sandwich;New Ham & Jack Slider;62;150;4,5;2;0;20;470;18;1;1;8;2;0;4;6
Sandwich;New Italian Spice Slider;64;230;14;5;0;30;690;18;1;1;8;2;6;4;8
Sandwich;New Little Cheesesteak Slider;64;180;7;2;0;15;430;19;1;2;7;4;4;4;6
Sandwich;New Little Turkey Slider;71;200;10;2,5;0;25;450;17;1;1;8;10;0;4;6
Sandwich;New Southwest Chicken Club;293;580;29;9;0;95;1230;43;4;6;34;25;25;20;20
Sandwich;New Steak Club;225;490;26;7;0;65;1290;40;2;6;26;20;10;6;15
Sandwich;NEW Ultimate Steak;216;600;35;14;1;80;1330;42;3;5;31;30;8;20;20
Sandwich;Oven Roasted Chicken ;233;270;3,5;0,5;0;45;560;40;5;6;23;35;15;4;15
Sandwich;Paneer Tikka;262;570;30;16;0,5;70;720;48;3;7;29;35;20;4;40
Sandwich;Roast Beef;233;290;4,5;1,5;0;45;660;40;5;6;25;35;15;2;25
Sandwich;Rotisserie-Style Chicken;248;310;6;2,5;0;55;560;40;5;6;29;35;15;2;15
Sandwich;Spicy Italian;208;450;24;9;0;60;1240;40;3;5;18;15;25;4;20
Sandwich;Steak & Cheese;161;340;10;4,5;0;50;1050;39;2;5;23;6;6;6;20
Sandwich;Subway Club®;240;290;4;1;0;40;780;41;5;6;24;35;15;2;20
Sandwich;Sweet Onion Chicken Teriyaki;266;330;4;1;0;50;750;52;5;14;25;40;20;4;20
Sandwich;Turkey & Bacon Guacamole;511;800;30;7;0;85;2070;85;8;12;45;30;40;10;30
Sandwich;Turkey Breast;219;250;3;0,5;0;25;650;40;5;6;18;35;15;2;15
Sandwich;Ultimate Meatball Marinara;271;730;46;19;1;80;1530;52;6;9;30;45;20;25;25
Sandwich;Ultimate Spicy Italian;190;730;52;21;1;105;1720;40;3;3;28;30;15;25;20
Sandwich;Veggie Delite®;163;200;2;0;0;0;280;39;5;5;9;35;15;2;15
Salad;Steak Club Salad;610;480;26;11;0,5;115;1970;23;6;12;42;110;60;15;60
Breakfast;Bacon, Egg & Cheese;198;450;20;7;0;190;1190;45;4;4;25;20;6;10;15
Breakfast;Black Forest Ham, Egg & Cheese;212;410;16;5;0;185;1180;45;4;4;24;20;0;10;15
Breakfast;Egg & Cheese;183;380;15;4,5;0;170;940;44;4;3;19;20;0;10;15
Breakfast;Steak, Egg & Cheese;226;450;18;6;0;195;1260;46;4;4;28;20;0;10;20
Extras;Bacon;15;70;6;2;0;15;250;1;0;1;5;0;6;0;0
Extras;Caramel Apple Cookie;51;210;6;3;0;10;65;37;0;26;2;0;0;0;6
Extras;Chocolate Chip Cookie;45;210;10;5;0;10;120;29;1;18;2;10;0;0;10
Extras;Chocolate Chip with M&M’s ;45;210;10;5;0;15;100;30;1;18;2;0;0;0;6
Extras;Chocolate Chunk Cookie;45;210;10;5;0;10;100;30;1;17;2;0;0;0;8
Extras;Dark Chocolate Cherry Cookie;47;200;8;4;0;0;100;33;1;24;2;10;0;0;8
Extras;Double Chocolate;45;210;9;5;0;15;130;30;1;20;2;10;0;0;10
Extras;Oatmeal Raisin Cookie;90;400;16;7;0;30;260;60;2;32;6;0;0;4;10
Extras;Pepperoni;18;80;7;2,5;0;20;300;1;0;0;3;0;4;0;0
Extras;Raspberry Cheesecake Cookie;45;200;9;4,5;0;15;120;29;0;16;2;10;0;0;4
Extras;Raspberry Lemonade Cookie;47;230;11;6;0;10;100;31;0;20;2;0;0;0;4
Extras;Sugar Cookie;90;460;24;12;0;30;260;56;2;28;4;0;0;0;8
Extras;White Chip Macadamia Nut Cookie;45;220;11;5;0;15;130;28;1;17;2;10;0;0;6
Wraps;Black Forest Ham;307;450;12;5;0;55;1680;58;4;5;29;35;25;10;25
Wraps;Chicken & Bacon Ranch Melt;773;1590;78;30;1,5;335;3930;112;7;7;118;50;90;50;50
Wraps;Chipotle Southwest Steak & Cheese;381;740;35;12;1;95;2170;63;6;7;41;20;30;20;30
Wraps;Cold Cut Combo;314;560;27;10;0,5;90;2230;57;3;4;27;20;25;15;30
Wraps;Cripsy Cauliflower Ranch Signature Wrap;375;820;35;8;0;5;2440;114;7;4;15;35;70;15;45
Wraps;Italian B.M.T. ®;314;680;37;14;0;105;2310;58;4;4;32;15;40;10;25
Wraps;Meatball Marinara;381;790;39;16;0;75;2160;77;8;12;34;30;50;20;35
Wraps;NEW Cauliflower Fritter Curry Signature Wrap;361;790;31;7;0;5;2540;114;7;5;15;6;60;15;40
Wraps;Oven Roasted Chicken;336;460;11;4;0;85;1350;54;3;5;38;35;20;10;20
Wraps;Roast Beef;335;490;13;5;0;90;1560;54;4;5;42;35;15;10;35
Wraps;Rotisserie-Style Chicken;364;550;16;7;0;115;1350;53;3;4;49;40;15;10;25
Wraps;Savory Rotisserie-Style Chicken Caesar;358;680;30;12;0;135;1600;52;3;3;53;20;6;20;25
Wraps;Spicy Italian;312;820;52;20;1;125;2580;57;4;3;31;35;50;15;30
Wraps;Subway Club®;349;490;12;5;0;85;1790;55;4;5;40;35;15;10;30
Wraps;Sweet Onion Chicken Teriyaki;382;540;12;4,5;0;100;1620;70;4;13;42;45;35;15;25
Wraps;Tuna;335;820;54;11;0,5;75;1330;53;3;3;33;15;25;10;30
Wraps;Turkey Breast;307;430;10;4;0;50;1550;54;3;4;28;35;15;10;20
Wraps;Turkey, Bacon & Guacamole;372;760;39;12;0;100;2350;59;5;5;42;20;30;20;25
Wraps;Veggie Delite®;285;330;8;3,5;0;0;800;56;4;5;10;70;30;10;20
bread;Roasted Garlic;75;210;2,5;0;0;0;1230;41;2;4;7;8;40;2;15
bread;9-Grain Honey Oat;75;190;2;0;0;0;270;39;4;5;8;0;0;0;10
bread;9-Grain Wheat;71;180;2;0;0;0;270;36;4;3;8;0;0;0;10
bread;Artisan Flatbread;87;220;4;0,5;0;0;330;41;4;3;8;0;0;0;10
bread;Hearty Italian**;75;210;2,5;0,5;0;0;340;40;2;3;7;0;0;0;15
bread;Italian;65;180;2;0;0;0;310;34;1;3;6;0;0;0;10
bread;Italian Herbs & Cheese;76;220;4,5;2;0;10;500;37;2;3;9;4;0;6;15
bread;Jalapeño Cheese;79;220;5;2;0;10;660;37;2;3;9;4;0;6;15
bread;Mini 9-Grain Wheat;47;120;1;0;0;0;180;24;3;2;5;0;0;0;8
bread;Mini Italian;47;130;1,5;0;0;0;230;25;1;2;5;0;0;0;8
bread;Monterey Cheddar**;75;220;5;2,5;0;10;370;34;1;3;9;4;0;6;10
bread;Parmesan Oregano**;68;190;2,5;0;0;0;460;37;2;3;7;0;0;0;15
bread;Rosemary & Sea Salt;75;220;3;0,5;0;0;490;40;2;3;7;0;0;0;15
bread;Spinach Wrap;102;290;8;3,5;0;0;780;48;2;1;8;0;0;10;15
bread;Tomato Basil Wrap;102;290;8;3,5;0;0;730;49;2;1;8;0;10;8;15
bread_toppings;American - cheese;11;40;3,5;2;0;10;200;1;0;0;2;6;0;4;0
bread_toppings;Cheddar - cheese;14;60;4,5;2,5;0;15;90;0;0;0;4;6;0;8;0
bread_toppings;Monterey Cheddar - cheese;14;50;4,5;3;0;15;90;0;0;0;3;6;0;8;0
bread_toppings;Pepperjack - cheese;11;50;4;2,5;0;15;140;0;0;0;2;6;0;8;0
bread_toppings;Provolone - cheese;14;50;4;2;0;10;125;0;0;0;4;4;0;8;0
bread_toppings;Shredded Mozzarella - cheese;14;40;3;2;0;10;100;0;0;0;3;4;0;6;0
bread_toppings;Swiss - cheese;14;50;4,5;2,5;0;15;30;0;0;0;4;4;0;10;0
bread_toppings;Pepperoni;18;80;7;2,5;0;20;290;1;0;0;3;0;4;0;0
Sauces;Chipotle Southwest;14;80;7;1;0;5;110;1;0;1;0;0;0;0;0
Sauces;Honey Mustard**;14;20;0;0;0;0;80;4;0;4;0;0;0;0;0
Sauces;Light Mayonnaise;15;50;5;1;0;5;100;1;0;0;0;0;0;0;0
Sauces;Oil;5;45;5;1;0;0;0;0;0;0;0;0;0;0;0
Sauces;Ranch;14;70;8;1,5;0;5;140;1;0;0;0;0;0;0;0
Sauces;Red Wine Vinegar;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sauces;Regular Mayonnaise;14;100;11;2;0;10;65;0;0;0;0;0;0;0;0
Sauces;Savory Caesar**;14;80;9;1,5;0;5;130;0;0;0;0;0;0;0;0
Sauces;Spicy Brown Mustard;14;15;1;0;0;0;260;1;0;0;0;0;0;0;25
Sauces;Subway® Vinaigrette;14;35;3,5;0,5;0;0;110;1;0;1;0;0;0;0;0
Sauces;Sweet Onion Sauce;18;30;0;0;0;0;75;8;0;7;0;0;0;0;0
Sauces;Yellow Mustard;14;10;0,5;0;0;0;170;1;0;0;0;0;0;0;0
bread_toppings;Banana Peppers;4;0;0;0;0;0;65;0;0;0;0;0;6;0;0
bread_toppings;Black Olives;3;0;0;0;0;0;25;0;0;0;0;0;0;0;0
bread_toppings;Cucumbers;14;0;0;0;0;0;0;1;0;0;0;0;0;0;0
bread_toppings;Green Peppers;7;0;0;0;0;0;0;0;0;0;0;0;6;0;0
bread_toppings;Jalapenos;4;0;0;0;0;0;70;0;0;0;0;0;0;0;0
bread_toppings;Lettuce;21;0;0;0;0;0;0;1;0;0;0;4;0;0;0
bread_toppings;Pickles;9;0;0;0;0;0;115;0;0;0;0;0;0;0;0
bread_toppings;Red Onions;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0
bread_toppings;Spinach;7;0;0;0;0;0;5;0;0;0;0;20;2;0;0
bread_toppings;Tomatoes;35;5;0;0;0;0;0;1;0;1;0;10;4;0;0
bread_toppings;Bacon;15;70;6;2;0;15;250;1;0;1;5;0;6;0;0
bread_toppings;Guacamole;35;70;6;1;0;0;100;3;2;0;1;0;2;4;0
bread_toppings;Shaved Steak;100;160;7;2,5;0;55;760;5;0;3;20;0;0;0;8
bread_toppings;Parmesan Cheese;1;5;0;0;0;0;30;0;0;0;1;0;0;0;0